index,task_name,vm_assigned,start_time,exec_time,finish_time,wait_time
4,task-10-4,vm4,0.0,10.700634360000095,10.700615,7.925999852886889e-06
19,task-10-19,vm3,0.057252,20.885115598000084,20.93932,6.6530001276987605e-06
10,task-9-10,vm4,0.05779,15.769460624999738,15.82421,4.6800000745861325e-06
13,task-9-13,vm2,0.058522,23.44737090300032,23.502847,1.4078000276640523e-05
2,task-8-2,vm4,0.059236,23.755509108000297,23.811709,7.193999863375211e-06
15,task-8-15,vm4,0.059699,4.398588001999997,4.458265,4.889000138064148e-06
8,task-7-8,vm3,0.060261,5.419136895000065,5.479375,7.063999873935245e-06
12,task-7-12,vm1,0.060858,21.703565873000116,21.761385,1.0419999853183981e-05
0,task-6-0,vm4,0.061486,26.00107072999981,26.059513,4.0679997255210765e-06
18,task-6-18,vm3,0.062019,9.411929850999968,9.473931,7.776000074954936e-06
1,task-5-1,vm2,0.06253,5.555492246000085,5.618004,4.9599998419580515e-06
17,task-5-17,vm4,0.063007,19.550558510999963,19.610259,4.790000275534112e-06
6,task-4-6,vm4,0.063483,16.888838620000115,16.949274,4.567999894788954e-06
7,task-4-7,vm4,0.063929,18.01391989099966,18.074804,4.7489997996308375e-06
3,task-2-3,vm3,0.064521,9.922261894000258,9.986767,3.778000063903164e-06
16,task-2-16,vm3,5.479804,15.975099450000016,21.451858,5.414582187000178
5,task-3-5,vm2,5.618207,19.83071599699997,25.445889,5.553761119999763
14,task-1-14,vm3,9.474093,12.036770166000224,21.507807,9.409016763000182
9,task-3-9,vm1,21.761802,3.785609352999927,25.547391,21.700301254999886
11,task-1-11,vm2,23.503272,2.0587151990002894,25.561963,23.441120468999998
